Results - Estimator for roll and pitch angles

Data format:
Timestamp [s]:  Roll [deg]   ,   Pitch [deg]

54.741 s:       -178.717     ,     -1.575
54.751 s:       -178.731     ,     -1.327
54.761 s:       -178.850     ,     -1.438
54.771 s:       -178.792     ,     -1.380
54.781 s:       -178.674     ,     -1.440
54.791 s:       -178.433     ,     -1.508
54.801 s:       -178.724     ,     -1.217
54.811 s:       -179.016     ,     -1.331
54.821 s:       -178.851     ,     -1.494
54.831 s:       -178.901     ,     -1.446
54.841 s:       -178.724     ,     -1.449
54.851 s:       -178.836     ,     -1.630
54.861 s:       -178.908     ,     -1.953
54.871 s:       -179.023     ,     -1.321
54.881 s:       -178.952     ,     -1.397
54.891 s:       -178.438     ,     -1.330
54.901 s:       -178.657     ,     -1.343
54.911 s:       -178.839     ,     -1.451
54.921 s:       -178.901     ,     -1.504
54.931 s:       -178.838     ,     -1.162
54.941 s:       -178.727     ,     -1.273
54.951 s:       -178.718     ,     -1.573
54.961 s:       -179.081     ,     -1.092
54.971 s:       -179.016     ,     -1.562
54.981 s:       -178.782     ,     -1.855
54.991 s:       -178.435     ,     -1.507
55.001 s:       -178.665     ,     -1.393
55.011 s:       -179.020     ,     -1.441
55.021 s:       -178.786     ,     -1.445
55.031 s:       -178.842     ,     -1.563
55.041 s:       -178.603     ,     -1.339
55.051 s:       -178.732     ,     -1.498
55.061 s:       -178.901     ,     -1.620
55.071 s:       -179.136     ,     -1.554
55.081 s:       -178.792     ,     -1.667
55.091 s:       -178.482     ,     -1.459
55.101 s:       -178.777     ,     -1.164
55.111 s:       -178.844     ,     -1.560
55.121 s:       -178.906     ,     -1.669
55.131 s:       -178.786     ,     -1.329
55.141 s:       -178.549     ,     -1.566
55.151 s:       -178.604     ,     -1.453
55.161 s:       -178.781     ,     -1.393
55.171 s:       -179.017     ,     -1.272
55.181 s:       -178.898     ,     -1.391
55.191 s:       -178.661     ,     -1.746
55.201 s:       -178.901     ,     -1.446
55.211 s:       -178.792     ,     -1.438
55.221 s:       -178.967     ,     -1.664
55.231 s:       -178.373     ,     -1.510
55.241 s:       -178.781     ,     -1.219
55.251 s:       -178.897     ,     -1.451
55.261 s:       -178.840     ,     -1.449
55.271 s:       -178.904     ,     -1.211
55.281 s:       -178.665     ,     -1.277
55.291 s:       -178.730     ,     -1.443
55.301 s:       -178.548     ,     -1.568
55.311 s:       -178.779     ,     -1.337
55.321 s:       -178.737     ,     -1.721
55.331 s:       -178.834     ,     -1.748
55.341 s:       -178.668     ,     -1.795
55.351 s:       -178.611     ,     -1.330
55.361 s:       -178.735     ,     -1.380
55.371 s:       -178.968     ,     -1.433
55.381 s:       -178.662     ,     -1.628
55.391 s:       -178.488     ,     -1.395
55.401 s:       -178.955     ,     -1.393
55.411 s:       -179.017     ,     -1.329
55.421 s:       -178.784     ,     -1.332
55.431 s:       -178.606     ,     -1.336
55.441 s:       -178.662     ,     -1.628
55.451 s:       -178.790     ,     -1.498
55.461 s:       -178.732     ,     -1.440
55.471 s:       -178.848     ,     -1.554
55.481 s:       -178.786     ,     -1.734
55.491 s:       -178.603     ,     -1.746
55.501 s:       -178.838     ,     -1.278
55.511 s:       -179.195     ,     -1.323
55.521 s:       -178.907     ,     -1.438
55.531 s:       -178.839     ,     -1.509
55.541 s:       -178.496     ,     -1.735
55.551 s:       -178.607     ,     -1.393
55.561 s:       -178.968     ,     -1.319
55.571 s:       -178.846     ,     -1.500
55.581 s:       -178.843     ,     -1.331
55.591 s:       -178.722     ,     -1.278
55.601 s:       -178.775     ,     -1.458
55.611 s:       -179.022     ,     -1.553
55.621 s:       -178.905     ,     -1.383
55.631 s:       -178.677     ,     -1.380
